date,description,amount,category
2026-01-01,Part-Time Paycheck,1450.00,Income
2026-01-02,Rent,-850.00,Housing
2026-01-03,Metro Grocery,-92.40,Groceries
2026-01-04,Tim Hortons,-6.20,Coffee
2026-01-05,Spotify,-11.99,Subscriptions
2026-01-06,Shell Gas,-68.20,Gas
2026-01-08,Amazon,-44.99,Shopping
2026-01-10,TTC Pass,-156.00,Transport
2026-01-12,Restaurant,-38.60,Dining
2026-01-15,Scholarship Deposit,2500.00,Scholarship
2026-01-18,GoodLife Fitness,-54.99,Fitness
2026-01-20,Phone Bill,-72.50,Phone
2026-01-22,Movie Theatre,-21.40,Entertainment
2026-01-24,Uber,-18.75,Ride Share
2026-01-27,Steam Purchase,-34.99,Gaming
2026-01-29,Freelance Coding,320.00,Freelance

2026-02-01,Part-Time Paycheck,1480.00,Income
2026-02-02,Rent,-850.00,Housing
2026-02-03,Metro Grocery,-88.20,Groceries
2026-02-04,Starbucks,-7.10,Coffee
2026-02-05,Netflix,-15.99,Subscriptions
2026-02-06,Esso Gas,-72.30,Gas
2026-02-08,Amazon,-62.40,Shopping
2026-02-10,TTC Pass,-156.00,Transport
2026-02-12,Restaurant,-44.10,Dining
2026-02-15,Tax Refund,740.00,Refund
2026-02-18,GoodLife Fitness,-54.99,Fitness
2026-02-20,Internet Bill,-89.99,Utilities
2026-02-22,Cineplex,-18.50,Entertainment
2026-02-24,Uber,-24.20,Ride Share
2026-02-27,Textbooks,-126.00,Education

2026-03-01,Part-Time Paycheck,1500.00,Income
2026-03-02,Rent,-850.00,Housing
2026-03-03,Costco,-142.70,Groceries
2026-03-04,Tim Hortons,-5.95,Coffee
2026-03-05,Spotify,-11.99,Subscriptions
2026-03-06,Shell Gas,-69.40,Gas
2026-03-08,Amazon,-81.25,Shopping
2026-03-10,TTC Pass,-156.00,Transport
2026-03-12,Restaurant,-39.90,Dining
2026-03-15,Freelance Web Design,540.00,Freelance
2026-03-18,GoodLife Fitness,-54.99,Fitness
2026-03-20,Phone Bill,-71.25,Phone
2026-03-22,Bowling,-26.80,Entertainment
2026-03-24,Uber,-19.40,Ride Share
2026-03-27,Steam Spring Sale,-61.20,Gaming

2026-04-01,Part-Time Paycheck,1520.00,Income
2026-04-02,Rent,-850.00,Housing
2026-04-03,Metro Grocery,-94.30,Groceries
2026-04-04,Starbucks,-8.20,Coffee
2026-04-05,Netflix,-15.99,Subscriptions
2026-04-06,Esso Gas,-73.10,Gas
2026-04-08,Amazon,-55.60,Shopping
